feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,cat_feature_1,cat_feature_2,cat_feature_3,region,season,target
4.12,3.83,4.24,0.51,2.91,1.54,2.28,1.2,B,Z,Low,North,Winter,0
4.15,2.84,1.48,1.23,2.11,0.51,2.23,0.22,A,Y,Low,West,Spring,0
7.29,2.62,4.4,2.86,0.31,1.13,3.97,0.48,C,X,Medium,South,Fall,2
5.44,3.55,6.45,1.03,0.65,1.85,2.41,0.28,C,Y,Low,North,Fall,1
4.51,2.02,3.38,2.62,2.34,1.47,1.77,1.21,A,Z,Medium,North,Summer,1
6.09,2.02,2.78,2.66,2.54,2.46,3.67,1.18,B,Y,High,North,Fall,2
7.08,2.66,1.86,1.12,1.89,2.25,2.47,1.26,A,X,Low,West,Fall,1
4.86,2.11,1.91,0.34,1.97,1.22,2.8,0.21,D,Z,Medium,East,Summer,0
6.49,2.32,3.6,2.2,0.18,0.59,1.29,0.85,B,X,Low,North,Fall,0
4.34,3.02,4.57,1.0,2.5,2.19,2.15,1.12,C,Y,High,West,Winter,1
4.21,4.41,1.48,2.37,2.39,2.32,3.83,0.4,B,Y,Low,South,Winter,1
6.13,3.72,6.64,1.38,0.85,2.14,2.77,1.04,C,X,High,West,Fall,2
6.16,3.54,5.53,1.51,2.16,0.76,2.03,0.31,B,X,Medium,South,Winter,2
6.55,2.88,4.52,2.36,0.72,2.5,2.88,0.44,B,Z,High,East,Spring,2
6.9,4.8,5.97,1.21,0.22,1.02,3.73,0.82,C,Y,Medium,South,Fall,1
7.9,3.19,1.48,1.39,0.68,1.95,1.82,1.05,B,Y,Low,South,Spring,0
6.07,2.26,3.86,1.19,0.62,2.32,2.52,0.39,A,Y,Medium,West,Spring,1
5.29,3.85,4.78,1.17,1.08,0.97,3.88,0.44,A,Y,High,North,Fall,2
7.18,2.34,5.97,1.63,1.31,2.32,1.52,0.47,B,Y,Medium,West,Fall,2
5.08,3.04,5.7,2.45,1.57,1.12,3.16,0.51,B,X,Low,East,Summer,2
5.76,3.52,2.66,1.15,1.48,2.45,2.84,0.49,C,X,Medium,South,Fall,1
4.31,4.62,6.65,1.62,0.88,1.06,3.04,0.71,D,Z,High,East,Summer,2
4.1,3.48,1.75,2.05,0.18,2.41,2.05,1.05,A,Y,High,North,Summer,0
7.85,4.11,6.25,0.88,1.85,0.61,1.94,0.77,A,X,Low,East,Summer,2
7.34,4.98,6.83,0.9,1.25,1.92,3.05,1.21,A,Z,Medium,West,Summer,2
6.78,2.39,2.06,2.81,0.97,1.56,1.65,1.14,B,Z,High,North,Summer,1
5.64,2.82,5.33,2.2,2.61,1.46,2.26,0.36,B,X,Low,East,Fall,2
4.69,3.18,1.24,1.77,2.27,0.95,1.56,0.26,C,Z,Medium,South,Spring,0
4.63,3.27,3.43,1.98,2.59,1.91,1.02,1.34,A,Y,High,East,Spring,1
5.0,3.23,4.1,0.18,1.54,0.88,3.91,0.3,B,X,Low,North,Fall,0
6.2,4.72,4.48,1.89,0.48,1.61,2.3,0.39,D,X,Medium,South,Fall,0
6.86,4.14,6.62,1.58,2.12,1.01,3.91,0.23,D,Y,Medium,West,Summer,2
6.64,3.82,5.03,1.68,0.7,2.41,1.42,1.02,D,Z,Medium,North,Spring,2
5.12,2.93,3.89,1.14,1.38,0.56,2.76,0.96,C,X,Low,East,Summer,1
7.82,4.47,5.86,0.34,0.29,0.9,1.6,1.48,D,X,High,East,Winter,2
6.95,4.87,6.7,0.66,2.49,0.98,3.37,1.35,A,X,High,East,Winter,2
6.22,4.46,1.13,2.86,0.47,1.33,3.35,0.73,A,Y,High,East,Fall,2
6.45,2.0,6.9,1.29,2.72,0.97,1.34,0.68,A,X,Low,East,Spring,2
5.68,3.91,1.52,1.45,2.61,1.48,3.74,0.59,C,X,Medium,North,Fall,1
4.99,2.15,5.89,0.25,1.45,2.24,1.58,0.4,D,Y,Medium,West,Spring,0
5.42,2.77,2.68,0.21,2.26,1.92,2.84,0.38,A,Z,High,West,Summer,0
7.03,2.18,1.79,2.18,1.9,1.66,3.96,0.37,C,Y,Medium,North,Spring,1
4.06,3.81,3.64,1.66,2.43,0.68,3.65,0.35,C,X,Low,South,Winter,1
4.46,4.06,4.86,1.58,1.35,1.89,3.87,0.51,D,Y,Medium,West,Fall,1
4.18,2.34,3.29,0.81,2.38,0.83,2.03,0.6,C,X,Low,West,Fall,0
4.16,3.15,1.33,2.26,1.44,2.07,1.32,1.45,D,Z,Medium,West,Fall,0
7.42,3.37,4.6,0.59,2.83,1.0,1.57,0.95,B,Z,Low,West,Spring,1
6.81,3.11,6.41,0.65,1.51,1.33,2.5,1.48,B,X,High,North,Summer,2
5.9,2.36,3.3,1.44,1.44,1.2,3.38,0.68,B,X,Medium,West,Fall,1
4.39,3.26,2.3,0.93,2.38,2.22,1.45,0.79,B,Y,Low,West,Fall,0
5.97,4.25,3.66,0.82,2.48,0.75,2.98,0.62,A,Y,Low,South,Winter,1
5.89,2.21,1.29,1.97,1.71,1.63,1.97,0.44,C,Y,High,South,Summer,1
4.69,2.24,5.92,1.99,0.62,0.78,2.02,0.39,C,Z,Medium,South,Winter,1
5.74,3.06,5.96,2.49,1.46,1.91,2.99,1.43,C,Z,High,East,Summer,2
5.59,4.83,4.53,1.31,2.91,2.31,2.4,1.48,B,Y,Low,South,Fall,2
6.46,4.01,3.12,0.31,2.28,1.37,3.44,0.26,B,Z,Medium,North,Summer,0
6.54,4.04,5.8,0.89,2.45,1.48,1.47,0.4,B,Z,Medium,North,Winter,2
4.18,3.09,4.33,2.94,0.2,2.35,3.37,0.75,A,Z,High,South,Spring,2
5.5,3.78,5.96,1.83,1.46,1.54,1.19,0.44,B,Z,Low,South,Fall,1
6.5,2.03,4.79,2.16,1.98,1.48,1.58,0.67,A,X,Medium,West,Fall,2
6.01,3.91,5.71,0.12,2.51,1.66,2.97,0.37,A,X,High,North,Spring,2
7.43,4.74,4.59,1.6,0.24,1.88,3.56,0.79,C,Z,Medium,West,Spring,2
6.63,3.84,3.48,0.21,2.57,0.71,1.76,0.55,A,Z,High,West,Winter,2
4.65,4.62,6.75,1.75,1.69,2.14,1.98,0.66,D,Z,Medium,West,Spring,2
4.28,4.17,4.25,2.77,0.67,1.37,2.61,0.32,B,X,Low,East,Spring,2
6.57,2.36,4.63,2.91,1.02,0.64,1.63,0.76,D,Y,Low,North,Winter,1
4.11,4.71,2.32,1.67,0.92,2.07,3.43,1.48,A,X,Medium,South,Fall,1
6.34,2.2,4.75,1.43,1.64,1.25,3.32,0.63,B,Y,Low,North,Summer,1
7.76,3.6,4.43,2.84,0.25,0.7,1.44,1.34,B,X,Medium,West,Fall,2
6.3,2.43,2.11,2.05,0.56,1.77,2.39,1.3,C,X,High,South,Fall,1
5.55,2.04,1.36,0.29,2.46,2.26,3.32,1.44,B,X,Low,East,Winter,0
6.57,3.27,4.63,1.45,0.48,2.28,2.01,1.23,A,Y,Medium,West,Fall,2
5.83,2.89,5.58,0.8,0.78,2.42,2.9,1.06,D,X,Medium,West,Winter,1
6.18,3.46,4.14,1.46,1.41,2.24,1.15,1.31,B,X,Low,West,Spring,1
7.77,3.73,2.36,1.42,1.6,0.5,2.83,0.3,A,X,High,East,Fall,2
5.54,2.13,5.0,1.79,2.31,1.26,1.46,0.8,B,X,Low,South,Spring,1
7.84,2.37,1.48,1.13,1.4,2.14,3.49,1.49,C,Z,Low,East,Spring,0
7.62,3.68,3.65,0.58,2.39,1.23,2.07,1.2,A,X,Medium,North,Fall,2
4.78,3.03,1.98,1.56,1.89,1.7,1.84,1.45,B,X,High,West,Spring,1
4.28,4.19,2.11,2.51,0.43,1.71,3.52,1.21,A,Z,Medium,East,Fall,1
4.4,3.96,2.21,2.03,0.55,1.23,1.15,1.34,B,Y,High,North,Winter,0
4.07,4.54,3.32,1.08,1.37,2.31,2.19,1.12,C,Y,Medium,West,Summer,0
4.38,4.08,1.31,2.81,1.25,1.51,2.11,1.19,B,Y,Low,South,Spring,0
6.73,3.29,3.39,2.75,2.26,1.43,1.85,0.88,B,Z,Medium,West,Fall,1
4.28,4.02,4.07,0.71,1.78,2.5,3.74,1.4,A,X,Medium,West,Winter,2
5.28,2.83,3.9,0.21,1.23,1.49,3.25,1.27,A,Z,Medium,West,Fall,1
7.38,2.92,3.3,2.25,0.6,0.86,1.19,1.3,A,Z,Medium,North,Fall,2
4.09,4.37,6.03,2.5,0.76,1.53,3.14,1.07,B,Y,Low,North,Spring,2
7.26,3.34,1.87,2.91,1.77,2.13,2.58,0.6,B,Y,Medium,West,Spring,1
5.13,4.4,4.03,2.68,1.33,2.05,3.7,0.25,D,Y,Low,West,Fall,1
4.47,4.47,1.37,1.84,1.59,2.08,1.94,1.42,A,X,Medium,South,Spring,1
6.79,4.57,1.43,1.64,0.59,1.92,2.72,0.96,B,X,Medium,South,Winter,1
6.52,4.75,4.44,0.18,2.02,1.01,2.5,0.59,B,Z,High,North,Summer,2
7.51,3.29,4.4,0.82,2.57,2.22,2.47,0.39,B,Y,Medium,West,Fall,2
6.94,2.96,6.27,1.43,0.85,2.29,2.37,1.28,D,X,Medium,North,Winter,2
7.21,3.75,4.35,1.92,1.53,0.89,1.62,1.29,A,Z,High,North,Winter,2
5.13,3.11,6.76,1.72,2.93,0.76,3.27,1.26,A,Y,Low,East,Fall,2
4.71,3.8,1.29,2.25,1.07,2.45,2.35,1.04,C,X,Medium,North,Winter,1
7.0,4.12,1.59,0.91,1.83,2.24,3.88,0.68,B,Y,Low,West,Winter,0
7.23,4.07,1.26,1.74,0.36,2.29,1.78,0.6,A,Y,High,North,Winter,1
7.96,3.12,2.11,0.36,1.86,2.27,3.05,0.21,A,X,Medium,North,Winter,2
5.65,2.5,4.25,1.3,0.36,1.58,3.82,1.28,B,Z,High,East,Fall,1
5.49,3.29,4.87,2.28,2.88,1.79,2.99,0.31,C,X,High,South,Fall,2
7.11,2.43,1.27,2.11,2.18,1.59,3.61,1.02,A,Y,Low,North,Spring,1
5.36,4.67,6.68,2.97,2.39,0.6,3.48,0.86,B,X,High,South,Summer,2
7.72,3.04,6.05,0.91,2.14,1.99,2.08,0.88,B,Y,Medium,South,Spring,2
7.43,2.46,2.78,1.54,1.81,1.51,2.8,1.4,B,X,High,West,Spring,2
5.72,2.08,1.46,1.06,1.4,1.8,1.47,0.24,D,X,Medium,North,Summer,0
7.0,3.94,2.02,1.38,2.59,1.51,2.61,1.21,A,Z,Low,West,Spring,1
7.02,3.91,1.76,2.59,2.87,1.48,1.69,0.27,D,X,Medium,East,Winter,1
4.41,3.02,1.74,2.08,1.55,0.84,3.23,0.25,B,Z,Low,North,Winter,0
7.61,2.22,4.11,2.66,2.8,1.06,2.58,0.76,C,Y,Medium,North,Spring,2
6.02,3.23,2.48,0.69,1.79,0.82,2.23,0.28,B,Z,Low,East,Spring,0
7.31,2.93,3.15,2.63,1.66,0.89,1.81,1.23,B,Y,Low,North,Winter,0
5.28,4.03,6.94,0.27,1.42,2.45,4.0,0.89,D,X,Medium,South,Winter,1
7.58,3.82,5.11,2.68,0.71,0.81,1.22,0.24,D,X,Medium,North,Winter,2
5.56,3.09,6.69,1.05,0.11,1.04,1.13,0.25,A,Z,Low,East,Winter,1
4.04,2.65,1.86,1.01,0.8,1.68,1.65,1.0,A,Z,Medium,East,Winter,0
7.62,4.96,3.29,1.59,1.58,1.72,3.91,1.25,B,X,Low,North,Summer,2
4.37,3.36,4.33,2.83,1.2,0.81,3.94,0.77,D,Y,Medium,East,Summer,1
5.28,4.06,1.46,0.24,1.4,2.09,2.96,0.92,B,Y,High,West,Winter,0
7.8,2.42,1.03,1.12,2.94,2.07,3.64,1.24,C,Z,Low,North,Summer,0
7.8,3.46,5.02,2.58,1.12,0.97,1.64,0.99,C,Z,Medium,West,Winter,2
6.29,2.08,4.85,1.25,1.41,1.08,3.92,0.49,C,Z,Medium,East,Fall,1
6.53,3.52,3.46,0.68,0.49,2.38,1.43,1.0,B,Z,Medium,West,Winter,0
5.79,4.89,3.94,1.33,0.24,2.15,1.3,1.02,B,Z,High,North,Summer,1
5.17,3.15,3.49,1.22,2.35,1.9,1.34,1.15,D,X,Low,West,Fall,0
5.31,2.12,1.14,2.75,1.75,0.66,2.72,1.01,C,Z,Low,East,Fall,0
6.69,2.09,3.01,2.31,2.31,1.34,3.34,1.46,C,Y,Low,East,Winter,1
7.01,3.16,2.06,1.56,0.53,1.62,2.1,0.46,B,Z,Medium,East,Summer,0
7.17,2.48,1.59,2.97,1.76,0.87,3.93,1.44,C,Y,Medium,North,Winter,1
7.16,2.07,6.74,1.45,0.84,1.4,2.3,0.9,A,X,Low,West,Winter,2
4.36,4.27,4.6,0.27,0.76,1.7,1.45,1.07,A,Y,Medium,East,Fall,1
5.98,3.38,5.37,0.86,0.13,1.15,2.4,0.33,C,Y,Medium,North,Winter,1
4.23,2.87,2.89,1.36,0.48,2.06,3.04,0.69,B,X,Low,North,Fall,0
6.2,4.7,3.36,0.56,1.0,2.18,3.5,1.2,C,X,Medium,North,Spring,1
5.77,2.35,2.42,2.85,0.44,1.15,2.38,1.12,A,Y,Medium,East,Spring,1
7.55,4.87,1.58,2.32,2.96,2.18,2.78,0.25,B,X,High,East,Winter,2
5.4,2.94,2.07,0.88,1.0,0.71,1.8,0.91,B,X,High,South,Fall,0
4.47,4.67,5.79,1.81,0.48,2.18,2.94,0.31,B,X,High,South,Spring,2
4.57,3.81,5.07,2.19,0.68,0.81,3.96,1.49,A,Z,Low,East,Fall,1
7.05,4.48,4.28,2.83,1.8,0.67,1.15,1.37,C,Z,Medium,East,Summer,2
6.47,4.95,3.85,2.66,0.29,1.78,3.66,0.23,C,X,Medium,North,Spring,2
4.4,2.87,6.53,1.59,2.6,1.44,2.69,1.32,A,Z,Low,South,Fall,2
4.34,4.88,1.44,2.35,2.89,2.32,1.76,1.4,B,Y,Medium,North,Summer,1
6.8,3.17,2.68,1.73,0.82,1.23,3.86,0.66,C,X,Medium,West,Spring,1
4.29,3.16,3.1,1.7,1.41,1.07,2.45,1.14,C,X,High,East,Summer,1
7.29,3.02,5.69,0.43,0.16,1.5,2.0,0.77,C,Y,Low,West,Fall,1
6.82,3.62,6.96,0.47,1.96,1.41,1.54,1.05,C,Y,High,South,Spring,2
4.33,2.46,2.44,1.64,1.3,1.19,1.73,0.64,B,Z,High,West,Summer,0
4.34,3.66,6.25,0.88,0.88,1.89,3.5,0.62,B,Y,High,East,Summer,1
7.95,3.63,5.98,0.16,0.7,2.02,2.84,0.75,A,X,High,South,Spring,2
5.5,4.29,2.35,2.2,2.0,2.21,3.74,0.39,A,Z,High,North,Spring,2
5.48,4.5,3.4,0.19,1.31,2.45,1.7,1.28,C,X,Medium,East,Spring,1
7.25,3.32,3.46,1.83,0.62,1.03,1.36,0.65,A,Y,High,West,Spring,2
7.79,2.91,6.87,1.66,2.1,1.93,1.02,0.72,D,X,Medium,North,Winter,2
7.94,2.78,2.09,2.91,1.74,1.29,2.52,1.36,C,X,High,North,Summer,2
7.01,2.58,5.79,1.5,2.59,1.85,3.99,0.85,D,Y,High,East,Spring,2
5.51,2.17,3.01,0.28,0.44,1.45,3.08,0.91,D,X,Medium,West,Spring,0
4.33,3.03,5.39,1.7,2.38,2.49,1.93,1.44,B,Y,Low,East,Summer,2
7.11,2.81,3.52,2.54,2.05,1.96,3.63,1.35,C,X,Low,South,Winter,2
6.23,4.9,4.47,2.99,0.43,2.4,3.35,0.42,A,Y,Low,South,Summer,2
5.7,3.67,6.0,1.35,2.11,2.17,1.05,0.82,A,Y,Medium,South,Spring,2
7.63,3.04,5.82,1.03,1.38,2.31,3.45,1.46,C,X,Medium,West,Summer,2
4.44,3.74,6.2,2.73,2.84,2.13,1.9,0.68,A,Z,Medium,West,Fall,2
5.97,2.42,1.36,0.65,0.51,1.42,1.45,0.68,D,X,Medium,East,Spring,0
4.05,3.33,5.15,1.88,1.96,1.0,1.68,0.45,C,X,High,South,Fall,1
5.87,3.88,1.84,1.28,1.21,1.24,2.41,0.35,C,Y,Medium,West,Summer,0
4.23,3.47,3.49,0.22,2.87,0.54,2.27,1.16,A,Y,Medium,East,Spring,1
4.48,3.21,4.29,1.11,1.06,1.55,1.87,1.2,C,Y,Medium,West,Fall,0
4.47,4.98,3.42,0.87,2.89,1.51,1.52,1.46,A,X,Medium,East,Fall,1
6.6,4.64,4.12,2.09,2.71,1.55,3.29,1.21,C,Z,High,West,Fall,2
6.98,3.87,6.98,2.85,0.88,2.45,3.97,0.52,A,Y,Medium,West,Summer,2
6.33,3.71,1.81,0.88,2.43,2.32,3.33,0.25,C,X,High,South,Fall,1
7.85,3.86,5.05,2.45,2.99,0.82,1.89,1.48,A,X,Low,West,Summer,2
5.5,2.6,3.38,0.26,0.83,1.24,1.73,0.64,A,Z,High,North,Fall,1
5.14,3.19,1.8,1.66,1.37,1.35,1.65,0.61,B,Y,High,West,Fall,0
7.47,2.12,1.95,0.3,1.61,1.22,1.41,1.38,A,X,Low,West,Spring,0
4.89,3.43,6.7,2.81,0.96,2.1,2.65,0.96,C,X,Medium,South,Fall,2
7.85,3.63,6.28,2.32,0.14,1.55,2.82,0.48,A,X,High,East,Fall,2
4.05,2.68,6.44,2.01,0.74,1.64,3.12,1.36,B,Y,Medium,East,Summer,2
7.88,4.89,6.95,2.49,0.92,2.21,3.04,1.49,B,Z,High,West,Winter,2
4.17,4.73,2.25,1.98,1.39,2.11,1.88,0.31,A,Y,High,West,Winter,1
7.56,4.17,3.13,2.91,0.6,0.76,1.99,1.32,B,Y,High,East,Spring,2
6.11,3.6,5.02,2.17,2.63,1.93,3.04,0.71,C,Z,Medium,West,Winter,2
7.97,4.61,3.9,2.78,2.14,1.37,2.05,0.88,A,Y,Low,South,Summer,2
4.3,2.39,3.51,1.6,0.35,1.09,1.64,1.39,A,Y,Medium,North,Fall,1
6.22,4.37,3.15,0.44,1.99,0.6,2.12,1.47,B,X,Medium,South,Winter,1
7.88,2.37,4.56,1.63,2.0,1.47,1.82,0.54,B,Y,High,East,Fall,1
6.09,4.38,4.45,0.47,2.87,1.21,1.26,0.48,B,Y,Medium,North,Summer,1
6.52,2.83,1.97,1.82,0.11,1.0,3.49,0.3,B,X,Low,East,Winter,0
6.78,4.63,3.83,1.5,0.82,1.89,3.56,0.93,C,Z,High,South,Spring,2
5.82,4.83,4.32,1.91,2.79,2.04,1.66,0.22,A,Z,Low,West,Summer,2
6.51,2.45,4.42,0.13,2.8,0.99,1.19,0.74,B,Y,Medium,North,Summer,1
6.34,3.39,2.26,0.67,2.19,0.6,3.22,0.3,B,Y,Low,East,Winter,0
7.6,4.94,5.45,1.52,2.32,2.2,1.63,0.73,C,Y,Medium,East,Winter,2
4.18,3.45,1.15,2.86,0.37,0.52,2.18,0.25,D,X,Medium,West,Spring,0
5.12,4.59,3.13,1.21,1.59,2.37,1.19,1.29,B,X,Low,East,Winter,0
7.8,3.77,5.68,1.33,0.77,1.76,1.68,0.47,D,Z,Low,West,Summer,2
7.56,3.13,4.38,2.17,0.63,1.14,3.38,0.63,B,Y,High,West,Winter,2
5.82,2.86,2.57,1.85,2.45,0.99,3.41,1.33,A,Z,Low,East,Fall,1
6.48,2.61,5.17,0.97,0.49,0.52,1.62,1.17,A,X,High,South,Spring,2
5.11,4.29,4.4,1.29,1.46,0.97,2.01,0.48,B,Y,High,West,Spring,1
4.75,3.16,5.78,0.73,2.82,0.78,1.4,0.29,B,Y,Medium,East,Spring,1
5.85,3.53,5.41,2.9,0.64,1.72,1.22,1.13,A,Y,Low,South,Spring,2
5.41,3.48,4.66,0.48,2.94,0.83,3.98,0.71,B,Z,Low,East,Winter,1
6.33,3.73,3.93,1.18,2.98,1.56,2.97,1.2,B,Z,Medium,West,Spring,1
4.31,4.6,1.8,0.17,1.71,1.68,2.63,0.78,A,X,High,West,Winter,1
7.9,4.94,2.57,0.74,0.59,1.1,3.3,0.65,A,X,Medium,West,Fall,1
7.94,3.22,3.51,2.36,1.02,0.57,3.52,0.79,D,X,High,South,Fall,2
6.79,4.48,4.6,0.68,1.33,0.57,3.42,1.17,B,Y,Medium,South,Spring,1
6.14,4.29,4.08,0.33,1.0,0.55,1.05,1.37,C,X,Medium,North,Winter,1
5.24,3.72,2.73,1.48,0.91,1.98,1.56,0.26,C,Y,High,North,Fall,0
7.26,4.87,1.04,0.13,2.92,1.14,2.96,0.88,B,Y,Medium,West,Winter,0
6.74,2.6,3.98,0.35,0.54,2.09,2.13,0.24,A,Y,Medium,South,Winter,1
4.65,2.33,2.71,2.44,2.23,1.36,3.95,0.81,B,Z,Low,East,Spring,1
7.64,4.56,5.41,2.34,0.1,1.41,3.0,1.35,B,Y,Medium,East,Spring,2
7.29,3.32,1.14,2.75,1.83,1.53,3.87,0.67,B,Y,High,West,Winter,1
7.8,4.54,4.51,2.58,2.76,1.93,1.6,1.41,A,X,High,North,Winter,2
6.9,4.68,6.65,2.08,0.94,1.05,3.59,1.02,A,Y,High,South,Fall,2
6.45,2.19,2.05,0.25,0.64,0.74,1.96,1.41,D,Y,High,South,Summer,0
5.67,4.65,3.83,2.37,1.99,1.61,3.97,1.18,B,Y,Medium,South,Fall,2
7.73,3.34,1.55,2.55,2.17,1.15,1.47,0.33,C,Z,Low,West,Summer,1
7.46,3.53,4.75,2.42,2.1,1.38,2.55,0.5,B,Z,Medium,West,Spring,2
4.18,3.88,4.3,1.57,1.03,1.79,3.38,0.71,D,Z,Medium,South,Summer,1
4.11,4.78,3.44,0.78,0.83,1.49,2.3,0.42,B,X,Medium,West,Spring,0
5.51,2.06,4.13,2.55,2.87,1.74,2.4,0.84,B,Y,Medium,South,Summer,2
7.24,3.43,6.38,2.21,2.78,1.59,3.96,0.81,D,X,Low,West,Winter,2
7.95,4.06,2.18,2.94,1.43,1.98,2.28,1.44,C,X,Low,North,Winter,2
4.6,4.17,1.14,0.55,2.55,1.91,2.81,0.76,A,X,Medium,West,Winter,0
6.38,4.08,6.17,0.75,1.41,1.57,1.16,1.22,A,X,High,South,Winter,2
5.52,2.4,4.46,0.71,1.33,1.86,3.53,1.42,C,X,Low,North,Summer,1
7.88,2.9,6.34,2.4,0.55,2.25,2.94,1.34,C,Y,High,South,Winter,2
7.37,3.08,4.58,0.64,1.34,1.36,2.21,0.47,B,Z,Low,South,Winter,1
7.35,4.41,5.86,0.29,1.66,1.33,1.05,0.84,B,X,Low,East,Winter,2
5.87,2.84,3.58,3.0,0.17,2.03,2.78,0.65,C,Z,High,North,Fall,2
5.66,2.63,5.5,0.17,1.39,1.67,1.04,0.72,B,X,Low,East,Spring,1
5.09,4.87,6.48,2.52,2.37,0.64,1.0,0.67,C,X,Low,East,Spring,2
4.23,2.03,4.43,1.16,2.07,2.28,2.85,1.27,A,Y,Low,East,Spring,1
7.46,4.99,2.08,2.54,1.94,0.56,1.57,0.79,D,Y,Medium,West,Winter,0
7.25,4.03,2.61,1.71,2.74,2.0,1.58,0.88,C,X,High,North,Summer,2
8.0,4.49,2.19,2.71,0.15,2.02,2.96,1.48,C,X,Medium,East,Winter,2
7.99,2.88,2.48,2.79,1.72,2.41,1.16,0.28,B,Y,Medium,West,Summer,1
6.22,2.04,2.84,0.13,2.38,0.61,1.94,0.83,A,X,High,East,Fall,1
7.08,4.21,4.33,0.32,1.67,1.69,1.45,1.21,B,Y,Medium,East,Spring,1
7.78,4.5,4.53,0.83,1.04,1.36,2.74,0.4,C,Y,Medium,East,Spring,2
7.4,4.22,3.56,2.04,0.5,1.16,2.99,0.99,C,X,High,South,Summer,2
4.99,2.43,4.69,2.68,2.67,0.68,3.16,0.51,B,Z,Medium,East,Fall,2
5.8,4.26,1.49,1.43,1.47,1.63,1.77,1.33,C,X,High,West,Spring,1
4.52,4.31,1.53,1.86,2.65,1.46,1.27,0.63,C,Y,Low,North,Winter,0
7.82,3.98,2.03,0.65,1.8,0.71,1.24,0.63,A,Z,Medium,West,Summer,1
6.42,4.3,4.11,2.43,2.06,1.72,2.28,0.98,B,Z,High,North,Winter,2
4.91,4.54,2.28,2.91,2.43,1.98,3.84,0.44,C,Y,Low,South,Spring,2
6.69,3.84,2.7,0.88,2.01,2.03,1.65,0.57,B,Y,High,West,Fall,1
6.47,2.27,3.4,1.53,1.25,2.31,1.77,0.74,C,X,Medium,West,Summer,2
5.43,3.46,5.87,0.35,1.59,1.32,1.3,0.66,B,Y,Low,West,Winter,0
4.45,2.23,1.08,1.72,2.43,2.41,2.82,0.88,D,Y,Low,West,Summer,0
6.69,3.22,4.9,1.56,1.18,2.23,3.04,0.98,A,Y,High,South,Fall,2
6.08,3.22,5.01,0.52,1.23,1.09,2.93,0.94,B,Z,Low,East,Winter,0
7.09,2.2,5.79,1.38,0.38,0.82,3.58,1.05,A,X,Low,South,Spring,2
6.08,3.05,6.6,1.07,2.75,1.37,2.46,0.6,A,Z,Medium,South,Spring,2
7.41,2.33,1.12,1.61,0.36,1.3,1.4,0.36,B,Z,Medium,South,Winter,0
6.21,4.42,1.92,1.8,1.98,1.65,1.87,1.19,A,Y,High,East,Fall,1
6.24,4.84,6.32,0.12,1.3,1.67,2.99,1.31,D,Y,Medium,East,Summer,2
7.51,2.22,3.75,2.31,1.28,2.0,2.84,0.53,D,X,Medium,West,Summer,2
5.61,4.87,4.39,2.17,2.07,1.52,2.59,0.73,B,Z,Low,East,Spring,2
4.54,3.57,4.98,1.16,0.29,0.71,3.05,0.85,C,X,Medium,North,Spring,1
4.12,2.9,5.07,0.25,1.82,2.22,2.91,0.89,B,Y,Medium,East,Summer,0
7.02,2.23,6.59,2.29,2.34,1.12,3.64,1.06,C,Y,High,South,Winter,2
6.48,3.5,6.98,2.87,2.5,2.44,2.76,0.25,C,Z,High,South,Summer,2
6.82,4.38,5.32,0.8,0.59,0.74,3.34,1.14,A,Z,High,West,Fall,2
4.85,4.12,2.72,1.04,2.7,2.42,1.75,0.28,C,Y,High,East,Winter,1
4.55,2.15,6.28,0.63,2.0,0.68,3.03,0.81,C,X,Medium,West,Summer,0
4.06,2.22,1.3,1.77,2.66,0.96,3.71,1.28,B,X,Low,East,Fall,0
5.4,3.21,2.39,0.55,1.51,0.59,2.16,0.79,D,X,Medium,East,Winter,0
6.36,2.89,6.38,1.13,1.67,1.91,3.34,0.39,D,Z,Medium,West,Spring,1
5.57,2.7,2.54,2.12,2.77,2.2,3.17,1.48,B,Y,Medium,North,Summer,1
5.75,2.84,2.32,1.72,2.71,1.37,1.18,1.36,C,Z,Medium,North,Winter,0
7.62,4.41,1.83,1.22,1.4,2.36,2.74,1.2,D,Y,Medium,North,Winter,1
5.39,4.79,6.15,1.32,0.9,1.68,1.39,0.73,A,Y,Medium,South,Spring,2
6.06,3.22,4.0,1.73,1.24,1.76,3.9,0.44,B,X,Low,North,Spring,1
7.13,4.72,5.05,0.12,1.22,2.19,3.43,1.42,A,X,High,West,Summer,2
5.59,2.96,2.43,0.33,0.93,1.09,1.33,0.89,D,X,High,East,Summer,0
6.49,3.43,5.55,2.66,0.88,1.21,1.37,1.31,C,Y,Medium,East,Summer,2
7.45,2.68,5.56,0.33,2.6,2.31,2.78,0.64,A,X,Low,South,Fall,2
7.8,3.92,2.88,2.15,0.3,2.3,2.03,0.64,D,Y,Medium,South,Winter,1
4.59,4.94,3.46,2.77,2.07,2.45,1.1,1.48,C,Y,Low,South,Summer,1
7.71,3.81,2.26,0.88,0.6,2.3,2.62,0.88,D,Y,Medium,East,Winter,0
5.97,3.07,6.86,1.17,1.1,0.75,2.16,0.38,A,X,Medium,South,Spring,2
5.03,3.94,4.87,1.75,0.28,2.15,1.3,0.49,B,X,Low,East,Spring,2
5.84,2.37,6.61,2.66,0.88,1.32,3.41,0.83,C,X,Low,East,Fall,2
